vestibular,questão,alternativa_a,alternativa_b,alternativa_c,alternativa_d,alternativa_e,alternativa_correta,area_conhecimento,alternativa escolhida pela ia,resposta original,modelo,processing time,temperature used during test,parser_antigo
ITA 2026,"Questão 5. Uma circunferência é dividida em seis partes iguais pelos pontos A, B, C, D.
E, F, designados nessa ordem. Os pontos R. C, E são vértices de um triângulo equilátero, os pontos B. D. F são vértices de um segundo triângulo equilátero. A sobreposição desses dois triângulos define uma estrela de seis pontas denominada hexagrama. Se a área desse hexagrama é 25v3 cm', então a área do quadrado inscrito na circunferência mede
",20cm ao quadrado ,25cm ao quadrado ,40cm ao quadrado ,50cm ao quadrado ,75 cm ao quadrado ,D,Matemática,D,"Aqui está o passo a passo da resolução:

1.  **Entendendo a figura:**
    *   A circunferência é dividida em 6 partes iguais. Isso significa que os vértices formam um hexágono regular inscrito.
    *   Os pontos (A, C, E) e (B, D, F) formam dois triângulos equiláteros.
    *   A sobreposição desses dois triângulos forma um **hexagrama** (Estrela de Davi).
    *   O hexagrama é composto por um hexágono regular central menor e 6 triângulos equiláteros pequenos nas pontas.

2.  **Relação entre as áreas:**
    *   Se você desenhar o hexágono regular grande (ABCDEF), ele é composto por 6 triângulos equiláteros de lado igual ao raio ($R$).
    *   O hexagrama ocupa exatamente a mesma área desse hexágono regular, mas distribuída de forma diferente? Não, vamos analisar a geometria.
    *   Uma maneira mais fácil de ver a área do hexagrama é notar que ele é composto por 12 triângulos equiláteros pequenos idênticos.
    *   O hexágono regular inscrito na circunferência (de lado $R$) tem área igual a $\frac{3R^2\sqrt{3}}{2}$.
    *   A área do hexagrama é $\frac{2}{3}$ da área total dos dois triângulos grandes somados? Ou podemos pensar assim: O hexágono regular de lado $R$ tem área $6 \cdot \frac{R^2\sqrt{3}}{4}$.
    *   A área do hexagrama é exatamente o dobro da área do hexágono regular? Não.
    *   Vamos usar a fórmula direta ou decomposição. A área de um triângulo equilátero inscrito é $3 \sqrt{3} \frac{R^2}{4}$. A área de dois triângulos seria $2 \times 3 \sqrt{3} \frac{R^2}{4} = \frac{3\sqrt{3}R^2}{2}$.
    *   A interseção desses dois triângulos é um hexágono regular menor. A área da união (o hexagrama) é a soma das áreas menos a interseção? Não, o enunciado diz ""A sobreposição desses dois triângulos define uma estrela"". Normalmente, ""hexagrama"" refere-se à figura completa da estrela.
    *   Geometria clássica: A área de um hexagrama inscrito num círculo de raio $R$ é igual à área de um hexágono regular inscrito no mesmo círculo? Não.
    *   Vamos contar triângulos pequenos. Se dividirmos a figura inteira em triângulos equiláteros pequenos (iguais às pontas da estrela), o hexágono central é formado por 6 desses triângulos e há mais 6 pontas. Total = 12 triângulos pequenos.
    *   O hexágono regular inscrito na circunferência (vértices A, B, C, D, E, F) é formado por 6 triângulos equiláteros grandes (com vértice no centro). Mas se usarmos a malha da estrela, o lado do triângulo pequeno é $R/\sqrt{3}$? Não.
    *   Vamos pelo lado dos triângulos grandes. O lado do triângulo equilátero inscrito (ex: ACE) é $L = R\sqrt{3}$.
    *   A área de um triângulo grande é $\frac{L^2\sqrt{3}}{4} = \frac{(R\sqrt{3})^2\sqrt{3}}{4} = \frac{3R^2\sqrt{3}}{4}$.
    *   O hexágono central da estrela tem lado $l = L/3$. A área desse hexágono central é metade da área da estrela.
    *   A área da estrela (hexagrama) é a soma do hexágono central + 6 triângulos pequenos.
    *   Alternativamente, a área do hexagrama é exatamente igual à área do hexágono regular inscrito na circunferência (A, B, C, D, E, F). Vamos verificar:
        *   Hexágono regular inscrito ($H_{reg}$): lado $R$. Área = $6 \frac{R^2\sqrt{3}}{4} = \frac{3R^2\sqrt{3}}{2}$.
        *   Hexagrama: É formado por 12 triângulos equiláteros menores. O lado desses triângulos menores é $R/ \sqrt{3}$? Não. O lado do triângulo grande é $R\sqrt{3}$. O lado dos triângulos pequenos nas pontas é $1/3$ do lado do triângulo grande, ou seja, $\frac{R\sqrt{3}}{3} = \frac{R}{\sqrt{3}}$.
        *   Área de um triângulo pequeno: $\frac{(\frac{R}{\sqrt{3}})^2\sqrt{3}}{4} = \frac{\frac{R^2}{3}\sqrt{3}}{4} = \frac{R^2\sqrt{3}}{12}$.
        *   Área do hexagrama (12 triângulos pequenos): $12 \times \frac{R^2\sqrt{3}}{12} = R^2\sqrt{3}$.

    *   Comparando:
        *   Área dada: $25\sqrt{3}$.
        *   Fórmula encontrada: $R^2\sqrt{3}$.
        *   Logo, $R^2\sqrt{3} = 25\sqrt{3} \Rightarrow R^2 = 25$.

3.  **Calculando a área do quadrado inscrito:**
    *   O quadrado inscrito em uma circunferência de raio $R$ tem diagonal igual ao diâmetro ($2R$).
    *   Se o lado do quadrado é $L_q$, então por Pitágoras ($L_q^2 + L_q^2 = (2R)^2$) ou pela fórmula da área através das diagonais ($D^2 / 2$):
    *   Área do Quadrado = $\frac{(2R)^2}{2} = \frac{4R^2}{2} = 2R^2$.

4.  **Resultado Final:**
    *   Sabemos que $R^2 = 25$.
    *   Área do Quadrado = $2 \times 25 = 50$.

D",gemini/gemini-3-pro-preview,22.7565,1,A
ITA 2026,"Questão 43. Na passagem ""Fellow teachers nationwide face the same challenge, which explains why more states and districts are moving to limit or outright ban cellphones in the classroom"", a palavra OUTRIGHT pode ser substituida, sem prejuizo de sentido, por",partial., legal.,thorough.,confined.,illicit.,C,Inglês,C,C,gemini/gemini-3-pro-preview,14.1172,1,C
ITA 2026,"Questão 19. Em um escritório, trabalham 10 funcionários de segunda a sexta, em um regime de oito horas por dia. Diariamente o ar-condicionado é ligado para manter o local de trabalho a 17°C, sendo que o ambiente externo está a uma temperatura de 37 °C.
Considere que o ar-condicionado funcione com máxima eficiência e que ele age apenas para retirar o calor gerado pelas pessoas, que é de 100 W por funcionário. Sabendo que a tarifa da energia elétrica é de R$ 0,91 por kWh, assinale o custo aproximado para usar o ar-condicionado durante 4 semanas.","R$ 8,00.","R$ 10,00"," R$ 14,00.","R$ 80,00."," R$ 170,00.",B,Física,B,"Para resolver essa questão, precisamos calcular o custo total da energia elétrica consumida pelo ar-condicionado. Vamos seguir os passos:

1.  **Calcular a carga térmica total (calor a ser removido):**
    *   Número de funcionários: 10
    *   Calor por funcionário: 100 W
    *   Potência térmica total ($Q$): $10 \times 100 \text{ W} = 1000 \text{ W} = 1 \text{ kW}$

2.  **Calcular a eficiência máxima (Ciclo de Carnot):**
    Para um refrigerador (ar-condicionado) operando com eficiência máxima, usamos o coeficiente de performance (COP) de Carnot.
    *   Temperatura da fonte fria ($T_f$): $17^\circ\text{C}$
    *   Temperatura da fonte quente ($T_q$): $37^\circ\text{C}$
    *   Conversão para Kelvin:
        *   $T_f = 17 + 273 = 290 \text{ K}$
        *   $T_q = 37 + 273 = 310 \text{ K}$
    *   Fórmula do COP ideal: $\text{COP} = \frac{T_f}{T_q - T_f}$
    *   $\text{COP} = \frac{290}{310 - 290} = \frac{290}{20} = 14,5$

    Isso significa que para cada 1 W de energia elétrica consumida, o aparelho remove 14,5 W de calor.

3.  **Calcular a potência elétrica consumida ($P_{el}$):**
    *   $\text{COP} = \frac{\text{Calor removido (Q)}}{\text{Trabalho elétrico (W)}}$
    *   $14,5 = \frac{1000 \text{ W}}{P_{el}}$
    *   $P_{el} = \frac{1000}{14,5} \approx 68,97 \text{ W} \approx 0,069 \text{ kW}$

4.  **Calcular o tempo total de uso ($t$):**
    *   Horas por dia: 8 horas
    *   Dias por semana (segunda a sexta): 5 dias
    *   Total de semanas: 4 semanas
    *   $t = 8 \times 5 \times 4 = 160 \text{ horas}$

5.  **Calcular a energia elétrica total consumida ($E$):**
    *   $E = P_{el} \times t$
    *   $E \approx 0,069 \text{ kW} \times 160 \text{ h}$
    *   $E \approx 11,04 \text{ kWh}$

6.  **Calcular o custo final:**
    *   Tarifa: R$ 0,91 por kWh
    *   $\text{Custo} = 11,04 \times 0,91 \approx 10,046$

O valor calculado é de aproximadamente R$ 10,05. A alternativa mais próxima é a B.

B",gemini/gemini-3-pro-preview,24.7975,1,P
ITA 2026,"Questão 44. Referring to the establishment of a national youth mental health crisis, U.S.
Surgeon General Vivek Murthy stated: ""I am concerned that social media is an important driver of that crisis, one that we must urgently address"". In this sentence, the modal verb MUST indicates",a possibility that addressing the crisis may happen, a necessity to act regarding the crisis.,an ability to address the matter at any time.,a recommendation to act regarding the matter.,a request for people to recognize the relevance of the matter.,B,Inglês,B,B,gemini/gemini-3-pro-preview,23.6529,1,B
ITA 2025,"Questao 3. ˜ No trecho “[...] num mundo em que foguetes sao o que alimentam as ambi ˜ c¸oes ˜ das pessoas que saem pela porta da caverna.”, Neil deGrasse Tyson faz uso de um processo de intertextualidade denominado",Citação direta: transcrição de trechos autênticos do original.,Citação indireta: referência aos trechos autênticos do original.,Paráfrase: uso em estilo próprio da referência original.," Alusão: menção ao texto original, de forma livre e generalista.", Plágio: cópia com a intenção de apropriar-se da ideia original.,D,Português,D,D,gemini/gemini-3-pro-preview,13.9473,1,D
ITA 2025,"Questão 11. Expressões aforísticas são frequentes na obra de Vieira. Aforismo é sentença que explicita um conceito moral, assemelhando-se a um ditado. Assinale a alternativa em que NÃO se concretiza essa intenção.","Roubar pouco é culpa, roubar muito é grandeza. O roubar com pouco poder faz os
piratas, o roubar com muito, os Alexandres.","""A última dificuldade, e o maior perigo e aperto da morte é ser momentânea.""","A vida é uma lâmpada acesa, vidro e fogo. Vidro que com um sopro se faz e fogo
que com um sopro se apaga.","A vaidade entre os vícios é o pescador mais astuto e que mais facilmente engana os
homens.","Quem quer mais do que lhe convém, perde o que quer e o que tem. Quem pode
nadar e quer voar, tempo virá em que não voe nem nade.",B,Português,B,B,gemini/gemini-3-pro-preview,10.3703,1,B
ITA 2025,"Questão 12. A respeito do poema e do estilo de Castro Alves, assinale a alternativa
INCORRETA", O excerto caracteriza o Romantismo de evasão.,"O verso ""Que a brisa do Brasil beija e balança"" apresenta aliteração",A pontuação expressiva ilustra o estilo condoreiro do autor.,O poeta pertence à terceira geração da poesia romântica brasileira.,O ímpeto declamatório caracteriza o estilo do poeta.,A,Português,A,A,gemini/gemini-3-pro-preview,14.3692,1,A
ITA 2026,"Questão 47. In the extract ""The former searches for differences; the latter is quick to erase them."", the terms FORMER and LATTER refer respectively to A ( ) human intelligence and artificial intelligence.", human intelligence and artificial intelligence.,artificial intelligence and human intelligence., the Chilean psychoanalyst and his bi-logic theory,the logic of formal reasoning and the logic of emotion.,the logic of emotion and the logic of formal reasoning.,D,Inglês,D,D,gemini/gemini-3-pro-preview,19.2324,1,D
ITA 2026,"Questão 26. Considere as seguintes afirmações:
I. A primeira energia de ionização do átomo de Nitrogênio é menor que a primeira energia de ionização do átomo de Oxigênio.
II.
III.
O ion Rb* tem menor raio iônico que o Sr2*.
A molécula CH2O apresenta geometria trigonal plana e é apolar.
IV. A molécula PCis apresenta geometria bipirâmide trigonal e é polar.
Das afirmativas acima, está(ão) CORRETA(S)",apenas | e II.,apenas II e III.,apenas | e IV.,apenas | e IV.,nenhuma.,E,Química,E,E,gemini/gemini-3-pro-preview,19.722,1,E
ITA 2026,"Questão 36. Considere a seguinte reação química hipotética, que ocorre em fase gasosa:
2X(g) + W(g) → Y(g) + Z(g).
Um reator de volume fixo e temperatura constante foi alimentado com 36 atm de
uma mistura gasosa composta de X, W e uma substância inerte I, na proporção molar
X:W:l igual a 3:2:1. Assinale a alternativa que apresenta a pressão interna no reator (em atm) quando 75% do reagente W forem consumidos.",18,24,27,30,33,C,Química,C,"Para resolver essa questão, vamos seguir os passos estequiométricos usando as pressões parciais, já que o volume e a temperatura são constantes (a pressão é diretamente proporcional ao número de mols).

**1. Determinar as pressões parciais iniciais:**
A pressão total inicial ($P_0$) é 36 atm.
A proporção molar é $X : W : I = 3 : 2 : 1$.
O total de ""partes"" é $3 + 2 + 1 = 6$.

*   Pressão parcial de X ($P_{X_0}$): $\frac{3}{6} \times 36 = 18$ atm.
*   Pressão parcial de W ($P_{W_0}$): $\frac{2}{6} \times 36 = 12$ atm.
*   Pressão parcial de I ($P_{I}$): $\frac{1}{6} \times 36 = 6$ atm. (Inerte, não reage).

**2. Calcular o consumo e a formação:**
A questão afirma que 75% do reagente W foi consumido.
*   Quantidade de W consumida: $0,75 \times 12$ atm $= 9$ atm.

Vamos montar a tabela de equilíbrio (em atm):

| Substância | $2X$ | $W$ | $\rightarrow$ | $Y$ | $Z$ | $I$ (Inerte) |
| :--- | :---: | :---: | :---: | :---: | :---: | :---: |
| **Início** | 18 | 12 | | 0 | 0 | 6 |
| **Reação** | $-2x$ | $-x$ | | $+x$ | $+x$ | 0 |
| **Final** | $18 - 2x$ | $12 - x$ | | $x$ | $x$ | 6 |

Sabemos que a variação de W ($-x$) corresponde a 9 atm.
Logo, $x = 9$ atm.

**3. Determinar as pressões finais:**
*   $P_X = 18 - 2(9) = 18 - 18 = 0$ atm.
*   $P_W = 12 - 9 = 3$ atm.
*   $P_Y = 9$ atm.
*   $P_Z = 9$ atm.
*   $P_I = 6$ atm.

**4. Calcular a pressão total final:**
$P_{total} = P_X + P_W + P_Y + P_Z + P_I$
$P_{total} = 0 + 3 + 9 + 9 + 6$
$P_{total} = 27$ atm.

**Resposta:**
C",gemini/gemini-3-pro-preview,25.4767,1,P
FUVEST 26,"O Brasil é o líder mundial em reciclagem de alumínio, atingindo
números próximos a 99% de latas recicladas no ano de 2021.
Essas latas, já utilizadas para refrigerantes, cervejas,
energéticos, agora começam a trazer também água mineral
em seu interior.
Considere que uma empresa deseja envasar 350 mL de água
em uma lata de alumínio de formato cilíndrico e que, por
razões práticas como manuseio e custo do material, o
diâmetro da base dessa lata deve ter entre 5 cm e 8 cm.
Qual será, aproximadamente, em centímetros, a menor altura
possível da lata?",5,7,13,18,28,B,MATEMÁTICA,B,B,gemini/gemini-3-pro-preview,19.8681,1,B
FUVEST 26,"Considere a equação trigonométrica
𝑠𝑒𝑛 𝜋
2 + 𝑠𝑒𝑛 𝑥 = 𝑠𝑒𝑛 (2𝑥) − cos 𝜋
para¬¬𝑥∈ℝ, 0 ≤ 𝑥 < 2𝜋.
Um estudante resolveu essa equação da seguinte maneira:
𝑠𝑒𝑛 𝜋
2 + 𝑠𝑒𝑛 𝑥 = 𝑠𝑒𝑛 (2𝑥) − cos 𝜋
1 + 𝑠𝑒𝑛 𝑥 = 𝑠𝑒𝑛 (2𝑥) + 1
𝑠𝑒𝑛 𝑥 = 𝑠𝑒𝑛 (2𝑥)
𝑠𝑒𝑛 𝑥 = 2𝑠𝑒𝑛 𝑥
2𝑠𝑒𝑛 𝑥 − 𝑠𝑒𝑛 𝑥 = 0
𝑠𝑒𝑛 𝑥 = 0
𝑥 = 0 𝑜𝑢 𝑥 = 𝜋
A resolução apresentada pelo estudante está errada, pois ele",considerou que cos 𝜋 vale 1.,"não considerou as infinitas voltas no ciclo trigonométrico
para a resposta.",considerou que sen pi/2 vale 1,não utilizou corretamente o seno da soma de dois arcos.,apresentou duas respostas e não apenas uma.,D,MATEMÁTICA,D,D,gemini/gemini-3-pro-preview,18.6934,1,D
FUVEST 26,"A rega e o zelo geraram uma infinidade de seres que
descobria nos dedos ao mexer na terra: minhocas, besouros
verdes, bichos-de-conta.
Djaimilia Pereira de Almeida. A visão das plantas.
Na obra A visão das plantas (2021) são descritas
características dos animais e das plantas no jardim cuidado
por Celestino. Nesta frase, são citados animais que pertencem
a diferentes grupos de invertebrados, como as minhocas
(anelídeos), os besouros (insetos) e os bichos-de-conta
(crustáceos), também conhecidos como tatuzinhos de jardim.
Assinale a alternativa que apresenta corretamente a
informação sobre o sistema respiratório destes grup"," Os besouros e os bichos-de-conta apresentam respiração
traqueal, sendo a umidade do solo importante em ambos
os casos.","As minhocas apresentam respiração cutânea e os
besouros apresentam respiração traqueal, sendo a
umidade do solo importante em ambos os casos.","Os besouros apresentam respiração traqueal e os bichosde-conta apresentam respiração pulmonar, e a umidade
do solo não é importante na respiração destes animais.","As minhocas, os besouros e os bichos-de-conta
apresentam respiração branquial, sendo a umidade do
solo importante na respiração dos três animais.","As minhocas, os besouros e os bichos-de-conta
apresentam respiração pulmonar, e a umidade do solo não
é importante na respiração dos três animais.",C,BIOLOGIA,B,B,gemini/gemini-3-pro-preview,20.3055,1,B
