vestibular,questão,alternativa_a,alternativa_b,alternativa_c,alternativa_d,alternativa_e,alternativa_correta,area_conhecimento,alternativa escolhida pela ia,resposta original,modelo,processing time,temperature used during test
ITA 2026,"Questão 5. Uma circunferência é dividida em seis partes iguais pelos pontos A, B, C, D.
E, F, designados nessa ordem. Os pontos R. C, E são vértices de um triângulo equilátero, os pontos B. D. F são vértices de um segundo triângulo equilátero. A sobreposição desses dois triângulos define uma estrela de seis pontas denominada hexagrama. Se a área desse hexagrama é 25v3 cm', então a área do quadrado inscrito na circunferência mede
",20cm ao quadrado ,25cm ao quadrado ,40cm ao quadrado ,50cm ao quadrado ,75 cm ao quadrado ,D,Matemática,P,"Para resolver essa questão, vamos seguir os passos lógicos da geometria envolvida:

1.  **Entender a figura:**
    *   Temos uma circunferência dividida em 6 partes iguais pelos pontos A, B, C, D, E, F.
    *   Dois triângulos equiláteros são formados: ACE e BDF.
    *   A sobreposição desses dois triângulos forma um hexagrama (Estrela de Davi).
    *   A área desse hexagrama é dada como $24\sqrt{3}$ cm² (Note: O enunciado diz ""25v3"", que é uma notação comum para $25\sqrt{3}$, mas vamos verificar se o valor faz sentido com as opções. Se a área for $24\sqrt{3}$, os cálculos costumam ser mais exatos, mas vamos assumir o valor do enunciado: $25\sqrt{3}$).

2.  **Decomposição do Hexagrama:**
    *   Um hexagrama regular inscrito em uma circunferência pode ser visualizado como um hexágono regular central menor cercado por 6 triângulos equiláteros pequenos nas pontas.
    *   Alternativamente, e mais fácil para o cálculo: O hexagrama é composto por 12 triângulos equiláteros pequenos e congruentes.
    *   Se desenharmos o hexágono regular ABCDEF, ele é composto por 6 triângulos equiláteros grandes (com vértice no centro). O hexagrama é maior que esse hexágono? Não, o hexagrama é a união dos dois triângulos grandes.
    *   Vamos usar a relação com o raio $R$ da circunferência.
    *   A área de um triângulo equilátero inscrito numa circunferência de raio $R$ tem lado $L = R\sqrt{3}$.
    *   A área de um triângulo equilátero de lado $L$ é $\frac{L^2\sqrt{3}}{4}$.
    *   Substituindo $L$: Área = $\frac{(R\sqrt{3})^2\sqrt{3}}{4} = \frac{3R^2\sqrt{3}}{4}$.
    *   O hexagrama é a soma das áreas dos dois triângulos grandes (ACE e BDF) *menos* a área da interseção (o hexágono central).
    *   No entanto, uma forma muito mais simples é lembrar que a área de um hexágono regular inscrito de raio $R$ é $6 \times \frac{R^2\sqrt{3}}{4} = \frac{3R^2\sqrt{3}}{2}$.
    *   O hexagrama tem exatamente a mesma área que o hexágono regular inscrito? Não.
    *   Vamos contar os triângulos pequenos. Se dividirmos o hexágono central em 6 triângulos pequenos, e somarmos as 6 pontas da estrela, temos um total de 12 triângulos equiláteros pequenos.
    *   A área do hexagrama é dada por 12 triângulos pequenos.
    *   O lado do triângulo grande (inscrito) é $R\sqrt{3}$. O lado do triângulo pequeno (da ponta da estrela) é $1/3$ do lado do triângulo grande? Geometria da estrela: O lado do hexágono central é $R/\sqrt{3}$? Não.
    *   Vamos pela fórmula direta da área do hexagrama em função do raio $R$.
    *   Área Hexagrama = $\sqrt{3} \cdot R^2$. (Esta é uma propriedade conhecida: a área da estrela de 6 pontas inscrita é o dobro da área do hexágono que caberia dentro dela, ou simplesmente $\sqrt{3}R^2$ se considerarmos a geometria dos 12 triângulos de lado $R/\sqrt{3}$... vamos deduzir).

    *Dedução rápida:*
    O hexágono regular inscrito tem lado $R$. Sua área é $6 \cdot \frac{R^2\sqrt{3}}{4} = \frac{3\sqrt{3}R^2}{2} = 1,5\sqrt{3}R^2$.
    O hexagrama é formado por esse hexágono mais 6 triângulos pequenos colados nos lados.
    Os triângulos pequenos têm lado $R/3$? Não.
    Vamos olhar para os dois triângulos grandes ACE e BDF.
    Área de ACE = $\frac{3\sqrt{3}R^2}{4}$.
    Área de BDF = $\frac{3\sqrt{3}R^2}{4}$.
    Soma = $\frac{6\sqrt{3}R^2}{4} = \frac{3\sqrt{3}R^2}{2}$.
    Mas eles se sobrepõem no hexágono central.
    A área do hexagrama é a união, não a soma.
    A área do hexagrama é na verdade igual à área de um hexágono regular de lado $R$? Não.
    
    Vamos usar a contagem de triângulos unitários.
    O triângulo grande (ACE) tem área $9T$ (onde T é a área do triângulo pequeno da ponta).
    O hexágono central tem área $6T$.
    As pontas são $3T$. Total $9T$.
    O outro triângulo (BDF) também é $9T$.
    A sobreposição é o hexágono central ($6T$).
    Área da União (Hexagrama) = Área(ACE) + Área(BDF) - Área(Interseção)
    Área = $9T + 9T - 6T = 12T$.
    Sabemos que a área do hexágono inscrito na circunferência (vértices A,B,C,D,E,F) é composta por 6 triângulos equiláteros de lado $R$.
    A relação entre a área do hexagrama e o raio $R$:
    A área do hexagrama é exatamente igual à área do hexágono regular de lado $R$?
    Vamos verificar. Área Hexágono lado $R$ = $\frac{6 R^2 \sqrt{3}}{4} = \frac{3 \sqrt{3} R^2}{2}$.
    Área Hexagrama = $12T$.
    O lado do triângulo grande é $L = R\sqrt{3}$.
    Área do triângulo grande = $\frac{(R\sqrt{3})^2\sqrt{3}}{4} = \frac{3\sqrt{3}R^2}{4}$.
    Isso equivale a $9T$.
    Logo, $T = \frac{1}{9} \cdot \frac{3\sqrt{3}R^2}{4} = \frac{\sqrt{3}R^2}{12}$.
    Área do Hexagrama = $12T = 12 \cdot \frac{\sqrt{3}R^2}{12} = \sqrt{3}R^2$.

    **Conclusão parcial:** A área do hexagrama é $\sqrt{3}R^2$.

3.  **Calcular o Raio:**
    *   O enunciado diz que a área do hexagrama é $25\sqrt{3}$.
    *   Igualando as fórmulas:
        $\sqrt{3}R^2 = 25\sqrt{3}$
    *   Cortando $\sqrt{3}$ dos dois lados:
        $R^2 = 25$
    *   Logo, $R = 5$ cm.

4.  **Calcular a área do quadrado inscrito:**
    *   Um quadrado inscrito em uma circunferência de raio $R$ tem sua diagonal igual ao diâmetro da circunferência ($2R$).
    *   Seja $l$ o lado do quadrado. Pelo Teorema de Pitágoras: $l^2 + l^2 = (2R)^2$.
    *   $2l^2 = 4R^2$
    *   $l^2 = 2R^2$
    *   A área do quadrado é $l^2$.
    *   Como $R = 5$, então $R^2 = 25$.
    *   Área do quadrado = $2 \cdot 25 = 50$ cm².

5.  **Verificar as alternativas:**
    A) 20
    B) 25
    C) 40
    D) 50
    E) 75

    A resposta correta é 50.

D",gemini/gemini-3-pro-preview,26.0841,0
ITA 2026,"Questão 43. Na passagem ""Fellow teachers nationwide face the same challenge, which explains why more states and districts are moving to limit or outright ban cellphones in the classroom"", a palavra OUTRIGHT pode ser substituida, sem prejuizo de sentido, por",partial., legal.,thorough.,confined.,illicit.,C,Inglês,C,C,gemini/gemini-3-pro-preview,12.6811,0
ITA 2026,"Questão 19. Em um escritório, trabalham 10 funcionários de segunda a sexta, em um regime de oito horas por dia. Diariamente o ar-condicionado é ligado para manter o local de trabalho a 17°C, sendo que o ambiente externo está a uma temperatura de 37 °C.
Considere que o ar-condicionado funcione com máxima eficiência e que ele age apenas para retirar o calor gerado pelas pessoas, que é de 100 W por funcionário. Sabendo que a tarifa da energia elétrica é de R$ 0,91 por kWh, assinale o custo aproximado para usar o ar-condicionado durante 4 semanas.","R$ 8,00.","R$ 10,00"," R$ 14,00.","R$ 80,00."," R$ 170,00.",B,Física,P,"Para resolver essa questão, precisamos calcular a energia consumida pelo ar-condicionado e, em seguida, o custo dessa energia.

**1. Calcular a carga térmica total a ser removida:**
O ar-condicionado precisa remover o calor gerado pelos 10 funcionários.
Potência térmica ($Q$) = 10 funcionários $\times$ 100 W/funcionário = 1000 W.

**2. Calcular a eficiência máxima (Eficiência de Carnot):**
O enunciado diz que o aparelho funciona com ""máxima eficiência"", o que implica um ciclo de Carnot ideal.
As temperaturas devem estar em Kelvin (K).
$T_{fria} = 17^\circ C + 273 = 290$ K (temperatura interna)
$T_{quente} = 37^\circ C + 273 = 310$ K (temperatura externa)

O coeficiente de performance (COP) para um refrigerador de Carnot é dado por:
$COP = \frac{T_{fria}}{T_{quente} - T_{fria}}$
$COP = \frac{290}{310 - 290}$
$COP = \frac{290}{20} = 14,5$

**3. Calcular a potência elétrica consumida:**
O COP relaciona o calor removido ($Q$) com o trabalho elétrico necessário ($W$).
$COP = \frac{Q}{W}$
$14,5 = \frac{1000 \text{ W}}{W}$
$W = \frac{1000}{14,5} \approx 68,96$ Watts.
Essa é a potência elétrica que o ar-condicionado consome.

**4. Calcular o tempo total de uso:**
O regime é de 8 horas por dia, de segunda a sexta (5 dias por semana), durante 4 semanas.
Tempo total ($t$) = 8 horas/dia $\times$ 5 dias/semana $\times$ 4 semanas
$t = 160$ horas.

**5. Calcular o consumo de energia em kWh:**
Energia ($E$) = Potência ($W$) $\times$ Tempo ($t$)
$E = 68,96 \text{ W} \times 160 \text{ h}$
$E = 11.033,6 \text{ Wh}$
$E \approx 11,03 \text{ kWh}$

**6. Calcular o custo:**
Custo = Energia $\times$ Tarifa
Custo = 11,03 kWh $\times$ R$ 0,91 /kWh
Custo $\approx$ R$ 10,03

O valor mais próximo é R$ 10,00.

B",gemini/gemini-3-pro-preview,22.5435,0
ITA 2026,"Questão 44. Referring to the establishment of a national youth mental health crisis, U.S.
Surgeon General Vivek Murthy stated: ""I am concerned that social media is an important driver of that crisis, one that we must urgently address"". In this sentence, the modal verb MUST indicates",a possibility that addressing the crisis may happen, a necessity to act regarding the crisis.,an ability to address the matter at any time.,a recommendation to act regarding the matter.,a request for people to recognize the relevance of the matter.,B,Inglês,B,B,gemini/gemini-3-pro-preview,22.8141,0
ITA 2025,"Questao 3. ˜ No trecho “[...] num mundo em que foguetes sao o que alimentam as ambi ˜ c¸oes ˜ das pessoas que saem pela porta da caverna.”, Neil deGrasse Tyson faz uso de um processo de intertextualidade denominado",Citação direta: transcrição de trechos autênticos do original.,Citação indireta: referência aos trechos autênticos do original.,Paráfrase: uso em estilo próprio da referência original.," Alusão: menção ao texto original, de forma livre e generalista.", Plágio: cópia com a intenção de apropriar-se da ideia original.,D,Português,D,D,gemini/gemini-3-pro-preview,15.6515,0
ITA 2025,"Questão 11. Expressões aforísticas são frequentes na obra de Vieira. Aforismo é sentença que explicita um conceito moral, assemelhando-se a um ditado. Assinale a alternativa em que NÃO se concretiza essa intenção.","Roubar pouco é culpa, roubar muito é grandeza. O roubar com pouco poder faz os
piratas, o roubar com muito, os Alexandres.","""A última dificuldade, e o maior perigo e aperto da morte é ser momentânea.""","A vida é uma lâmpada acesa, vidro e fogo. Vidro que com um sopro se faz e fogo
que com um sopro se apaga.","A vaidade entre os vícios é o pescador mais astuto e que mais facilmente engana os
homens.","Quem quer mais do que lhe convém, perde o que quer e o que tem. Quem pode
nadar e quer voar, tempo virá em que não voe nem nade.",B,Português,B,B,gemini/gemini-3-pro-preview,10.39,0
ITA 2025,"Questão 12. A respeito do poema e do estilo de Castro Alves, assinale a alternativa
INCORRETA", O excerto caracteriza o Romantismo de evasão.,"O verso ""Que a brisa do Brasil beija e balança"" apresenta aliteração",A pontuação expressiva ilustra o estilo condoreiro do autor.,O poeta pertence à terceira geração da poesia romântica brasileira.,O ímpeto declamatório caracteriza o estilo do poeta.,A,Português,A,A,gemini/gemini-3-pro-preview,15.6341,0
ITA 2026,"Questão 47. In the extract ""The former searches for differences; the latter is quick to erase them."", the terms FORMER and LATTER refer respectively to A ( ) human intelligence and artificial intelligence.", human intelligence and artificial intelligence.,artificial intelligence and human intelligence., the Chilean psychoanalyst and his bi-logic theory,the logic of formal reasoning and the logic of emotion.,the logic of emotion and the logic of formal reasoning.,D,Inglês,D,D,gemini/gemini-3-pro-preview,20.4212,0
ITA 2026,"Questão 26. Considere as seguintes afirmações:
I. A primeira energia de ionização do átomo de Nitrogênio é menor que a primeira energia de ionização do átomo de Oxigênio.
II.
III.
O ion Rb* tem menor raio iônico que o Sr2*.
A molécula CH2O apresenta geometria trigonal plana e é apolar.
IV. A molécula PCis apresenta geometria bipirâmide trigonal e é polar.
Das afirmativas acima, está(ão) CORRETA(S)",apenas | e II.,apenas II e III.,apenas | e IV.,apenas | e IV.,nenhuma.,E,Química,E,E,gemini/gemini-3-pro-preview,19.4483,0
ITA 2026,"Questão 36. Considere a seguinte reação química hipotética, que ocorre em fase gasosa:
2X(g) + W(g) → Y(g) + Z(g).
Um reator de volume fixo e temperatura constante foi alimentado com 36 atm de
uma mistura gasosa composta de X, W e uma substância inerte I, na proporção molar
X:W:l igual a 3:2:1. Assinale a alternativa que apresenta a pressão interna no reator (em atm) quando 75% do reagente W forem consumidos.",18,24,27,30,33,C,Química,P,"Para resolver essa questão, vamos seguir os passos abaixo:

**1. Determinar as pressões parciais iniciais:**

A pressão total inicial ($P_0$) é 36 atm.
A proporção molar é $X:W:I = 3:2:1$.
O total de partes é $3 + 2 + 1 = 6$.

As pressões parciais são proporcionais às frações molares:
*   $P_{X,0} = \frac{3}{6} \times 36 = 18$ atm
*   $P_{W,0} = \frac{2}{6} \times 36 = 12$ atm
*   $P_{I,0} = \frac{1}{6} \times 36 = 6$ atm (Inerte, não reage)

**2. Analisar a reação e o consumo:**

Reação: $2X(g) + W(g) \rightarrow Y(g) + Z(g)$

Foi dado que 75% do reagente $W$ foi consumido.
*   Consumo de $W$ ($\Delta P_W$) = $0,75 \times 12$ atm = $9$ atm.

**3. Calcular as variações de pressão (Estequiometria):**

A proporção estequiométrica é $2:1:1:1$ ($X:W:Y:Z$).
Se 9 atm de $W$ reagem:
*   $X$ consumido: $2 \times 9 = 18$ atm
*   $Y$ formado: $1 \times 9 = 9$ atm
*   $Z$ formado: $1 \times 9 = 9$ atm

**4. Calcular as pressões finais:**

*   $P_X$ final = $P_{X,0} - \text{consumido} = 18 - 18 = 0$ atm
*   $P_W$ final = $P_{W,0} - \text{consumido} = 12 - 9 = 3$ atm
*   $P_Y$ final = $0 + \text{formado} = 9$ atm
*   $P_Z$ final = $0 + \text{formado} = 9$ atm
*   $P_I$ final = $6$ atm (permanece constante)

**5. Calcular a pressão total final:**

$P_{\text{total}} = P_X + P_W + P_Y + P_Z + P_I$
$P_{\text{total}} = 0 + 3 + 9 + 9 + 6$
$P_{\text{total}} = 27$ atm

C",gemini/gemini-3-pro-preview,25.7365,0
