vestibular,questão,alternativa_a,alternativa_b,alternativa_c,alternativa_d,alternativa_e,alternativa_correta,area_conhecimento,alternativa escolhida pela ia,modelo,processing time,temperature used during test
ITA 2026,"Questão 5. Uma circunferência é dividida em seis partes iguais pelos pontos A, B, C, D.
E, F, designados nessa ordem. Os pontos R. C, E são vértices de um triângulo equilátero, os pontos B. D. F são vértices de um segundo triângulo equilátero. A sobreposição desses dois triângulos define uma estrela de seis pontas denominada hexagrama. Se a área desse hexagrama é 25v3 cm', então a área do quadrado inscrito na circunferência mede
",20cm ao quadrado ,25cm ao quadrado ,40cm ao quadrado ,50cm ao quadrado ,75 cm ao quadrado ,D,Matemática,A,gemini/gemini-2.5-flash,31.7473,0.5
ITA 2026,"Questão 43. Na passagem ""Fellow teachers nationwide face the same challenge, which explains why more states and districts are moving to limit or outright ban cellphones in the classroom"", a palavra OUTRIGHT pode ser substituida, sem prejuizo de sentido, por",partial., legal.,thorough.,confined.,illicit.,C,Inglês,C,gemini/gemini-2.5-flash,8.1412,0.5
ITA 2026,"Questão 19. Em um escritório, trabalham 10 funcionários de segunda a sexta, em um regime de oito horas por dia. Diariamente o ar-condicionado é ligado para manter o local de trabalho a 17°C, sendo que o ambiente externo está a uma temperatura de 37 °C.
Considere que o ar-condicionado funcione com máxima eficiência e que ele age apenas para retirar o calor gerado pelas pessoas, que é de 100 W por funcionário. Sabendo que a tarifa da energia elétrica é de R$ 0,91 por kWh, assinale o custo aproximado para usar o ar-condicionado durante 4 semanas.","R$ 8,00.","R$ 10,00"," R$ 14,00.","R$ 80,00."," R$ 170,00.",B,Física,P,gemini/gemini-2.5-flash,22.0447,0.5
ITA 2026,"Questão 44. Referring to the establishment of a national youth mental health crisis, U.S.
Surgeon General Vivek Murthy stated: ""I am concerned that social media is an important driver of that crisis, one that we must urgently address"". In this sentence, the modal verb MUST indicates",a possibility that addressing the crisis may happen, a necessity to act regarding the crisis.,an ability to address the matter at any time.,a recommendation to act regarding the matter.,a request for people to recognize the relevance of the matter.,B,Inglês,B,gemini/gemini-2.5-flash,8.2008,0.5
ITA 2025,"Questao 3. ˜ No trecho “[...] num mundo em que foguetes sao o que alimentam as ambi ˜ c¸oes ˜ das pessoas que saem pela porta da caverna.”, Neil deGrasse Tyson faz uso de um processo de intertextualidade denominado",Citação direta: transcrição de trechos autênticos do original.,Citação indireta: referência aos trechos autênticos do original.,Paráfrase: uso em estilo próprio da referência original.," Alusão: menção ao texto original, de forma livre e generalista.", Plágio: cópia com a intenção de apropriar-se da ideia original.,D,Português,D,gemini/gemini-2.5-flash,8.3575,0.5
ITA 2025,"Questão 11. Expressões aforísticas são frequentes na obra de Vieira. Aforismo é sentença que explicita um conceito moral, assemelhando-se a um ditado. Assinale a alternativa em que NÃO se concretiza essa intenção.","Roubar pouco é culpa, roubar muito é grandeza. O roubar com pouco poder faz os
piratas, o roubar com muito, os Alexandres.","""A última dificuldade, e o maior perigo e aperto da morte é ser momentânea.""","A vida é uma lâmpada acesa, vidro e fogo. Vidro que com um sopro se faz e fogo
que com um sopro se apaga.","A vaidade entre os vícios é o pescador mais astuto e que mais facilmente engana os
homens.","Quem quer mais do que lhe convém, perde o que quer e o que tem. Quem pode
nadar e quer voar, tempo virá em que não voe nem nade.",B,Português,B,gemini/gemini-2.5-flash,9.1151,0.5
ITA 2025,"Questão 12. A respeito do poema e do estilo de Castro Alves, assinale a alternativa
INCORRETA", O excerto caracteriza o Romantismo de evasão.,"O verso ""Que a brisa do Brasil beija e balança"" apresenta aliteração",A pontuação expressiva ilustra o estilo condoreiro do autor.,O poeta pertence à terceira geração da poesia romântica brasileira.,O ímpeto declamatório caracteriza o estilo do poeta.,A,Português,A,gemini/gemini-2.5-flash,11.8348,0.5
ITA 2026,"Questão 47. In the extract ""The former searches for differences; the latter is quick to erase them."", the terms FORMER and LATTER refer respectively to A ( ) human intelligence and artificial intelligence.", human intelligence and artificial intelligence.,artificial intelligence and human intelligence., the Chilean psychoanalyst and his bi-logic theory,the logic of formal reasoning and the logic of emotion.,the logic of emotion and the logic of formal reasoning.,D,Inglês,A,gemini/gemini-2.5-flash,12.2,0.5
ITA 2026,"Questão 26. Considere as seguintes afirmações:
I. A primeira energia de ionização do átomo de Nitrogênio é menor que a primeira energia de ionização do átomo de Oxigênio.
II.
III.
O ion Rb* tem menor raio iônico que o Sr2*.
A molécula CH2O apresenta geometria trigonal plana e é apolar.
IV. A molécula PCis apresenta geometria bipirâmide trigonal e é polar.
Das afirmativas acima, está(ão) CORRETA(S)",apenas | e II.,apenas II e III.,apenas | e IV.,apenas | e IV.,nenhuma.,E,Química,A,gemini/gemini-2.5-flash,22.2021,0.5
ITA 2026,"Questão 36. Considere a seguinte reação química hipotética, que ocorre em fase gasosa:
2X(g) + W(g) → Y(g) + Z(g).
Um reator de volume fixo e temperatura constante foi alimentado com 36 atm de
uma mistura gasosa composta de X, W e uma substância inerte I, na proporção molar
X:W:l igual a 3:2:1. Assinale a alternativa que apresenta a pressão interna no reator (em atm) quando 75% do reagente W forem consumidos.",18,24,27,30,33,C,Química,P,gemini/gemini-2.5-flash,13.0812,0.5
